"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2016 VB1)","2016-Nov-07 15:57 ± < 00:01","0.00179","0.00179","5.72","5.46","28.6","5.1 m -   11 m","0"
"(2016 VF18)","2016-Nov-10 11:36 ±    01:06","0.00047","0.00042","13.73","13.31","29.9","2.8 m -  6.3 m","0"
"(2016 WT)","2016-Nov-17 06:54 ± < 00:01","0.00129","0.00129","10.95","10.76","29.8","2.9 m -  6.5 m","0"
"(2016 WT3)","2016-Nov-21 12:55 ±    00:01","0.00243","0.00242","14.53","14.45","28.6","5.1 m -   11 m","0"
"(2016 WW2)","2016-Nov-25 02:46 ± < 00:01","0.00089","0.00089","9.87","9.56","29.0","4.1 m -  9.2 m","0"
"(2016 XL23)","2016-Nov-30 12:54 ±    00:03","0.00058","0.00058","10.60","10.16","29.3","3.7 m -  8.3 m","0"
"(2017 AG13)","2017-Jan-09 12:50 ± < 00:01","0.00139","0.00139","15.70","15.58","26.1","16 m -   36 m","2"
"(2017 BX)","2017-Jan-25 04:54 ± < 00:01","0.00178","0.00178","7.44","7.23","28.0","6.7 m -   15 m","0"
"(2017 BH30)","2017-Jan-30 04:51 ± < 00:01","0.00035","0.00035","15.46","14.96","28.8","4.6 m -   10 m","1"
"(2017 BS32)","2017-Feb-02 20:24 ± < 00:01","0.00109","0.00109","11.57","11.36","27.6","8.1 m -   18 m","1"
"(2017 DG16)","2017-Feb-23 21:08 ± < 00:01","0.00092","0.00092","6.91","6.48","29.3","3.7 m -  8.2 m","0"
"(2017 DR34)","2017-Feb-25 04:52 ± < 00:01","0.00149","0.00149","11.41","11.25","29.2","3.8 m -  8.6 m","0"
"(2017 EA)","2017-Mar-02 14:05 ± < 00:01","0.00014","0.00014","18.42","17.35","30.8","1.8 m -  4.1 m","0"
"(2017 DS109)","2017-Mar-05 14:29 ± < 00:01","0.00236","0.00236","11.38","11.28","26.1","16 m -   37 m","1"
"(2017 FW158)","2017-Mar-17 14:08 ±    00:12","0.00082","0.00081","15.41","15.19","28.4","5.6 m -   13 m","1"
"(2017 FD3)","2017-Mar-17 14:28 ± < 00:01","0.00120","0.00120","11.58","11.38","27.7","7.7 m -   17 m","1"
"(2017 FS)","2017-Mar-19 03:33 ± < 00:01","0.00073","0.00073","20.06","19.88","28.9","4.4 m -  9.9 m","0"
"(2017 FX158)","2017-Mar-20 02:16 ± < 00:01","0.00182","0.00181","8.72","8.55","29.0","4.3 m -  9.5 m","0"
"(2017 FN1)","2017-Mar-20 21:02 ± < 00:01","0.00042","0.00042","18.26","17.91","30.6","2.0 m -  4.5 m","0"
"(2017 FM1)","2017-Mar-20 22:38 ± < 00:01","0.00086","0.00085","10.42","10.12","29.5","3.3 m -  7.5 m","0"
"(2017 FJ101)","2017-Mar-30 07:51 ± < 00:01","0.00217","0.00217","11.30","11.20","28.3","5.8 m -   13 m","0"
"(2017 FU102)","2017-Apr-02 20:18 ± < 00:01","0.00146","0.00146","7.53","7.29","28.7","4.8 m -   11 m","0"
"(2017 GM)","2017-Apr-04 10:32 ± < 00:01","0.00011","0.00011","18.50","17.12","29.9","2.8 m -  6.2 m","1"
"(2017 HJ)","2017-Apr-16 05:43 ± < 00:01","0.00091","0.00091","15.04","14.84","27.5","8.3 m -   19 m","1"
"(2017 HG49)","2017-Apr-21 04:33 ±    00:15","0.00238","0.00236","13.78","13.70","27.5","8.4 m -   19 m","0"
"(2017 HG4)","2017-Apr-22 06:24 ± < 00:01","0.00156","0.00156","4.02","3.57","27.7","7.7 m -   17 m","0"
"(2017 HV2)","2017-Apr-23 22:04 ± < 00:01","0.00084","0.00084","9.58","9.24","28.9","4.4 m -  9.9 m","0"
"(2017 JA)","2017-May-02 07:24 ± < 00:01","0.00067","0.00067","16.03","15.77","29.1","4.0 m -  9.0 m","0"
